Order NO,Distribution Center,Customer Code,Customer Name,TP,VAT,Discount,Net Payable,Create Date,Create By,DZSM Name,AM Name,MIO Name,Group Code,Group,Zone Code,Zone,Area Code,Area,Territory Code,Territory,Sub-Territory Code,Sub-Territory,Market Code,Market,Distribution Route,Approval Status,
ODR-22062310053,Dhaka Distribution Center,C152284,Ma Medical Hall,4858.20,845.340,242.910,5460.630,23-Jun-2022 12:02 PM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310054,Dhaka Distribution Center,C147413,Boishakhi Pharmacy,449.76,78.260,8.995,519.025,23-Jun-2022 12:03 PM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310001,Dhaka Distribution Center,C2201571,Tahsin Pharmacy,3141.78,546.690,157.089,3531.381,23-Jun-2022 09:13 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310002,Dhaka Distribution Center,C2188188,Khan Medicine Center,1057.14,183.950,21.143,1219.947,23-Jun-2022 09:14 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310003,Dhaka Distribution Center,C1436437,Maa Pharmacy,1124.40,195.650,22.488,1297.562,23-Jun-2022 09:14 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310004,Dhaka Distribution Center,C8188,Dhantara Pha,4588.56,798.500,229.428,5157.632,23-Jun-2022 09:22 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310005,Dhaka Distribution Center,C8179,Polli Jononi Pharmacy,12896.16,2244.030,644.808,14495.382,23-Jun-2022 09:22 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310006,Dhaka Distribution Center,C138141,Tonmoy Pharmacy,1124.40,195.650,22.488,1297.562,23-Jun-2022 09:22 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310042,Dhaka Distribution Center,C12493,Rawshanara Pha,3600.00,626.400,180.000,4046.400,23-Jun-2022 11:08 AM,51611 : Md. Lokman,50990 : Mohammad Salah Uddin,51896 : Mirza Mahbubul Haque Sadi,51611 : Md. Lokman,NT-100,National,DK-100,Dhaka,DK-110,Dhaka,DK-113,Dhamrai,Sub_TERI-12637,Dhamrai,MAR-12636,Dhamrai,Dhamrai,Approved,
ODR-22062310056,Bogura Distribution Center,C156404,Niramoy Pharmacy,2700.00,469.800,0.000,3169.800,23-Jun-2022 12:38 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310057,Bogura Distribution Center,C158561,Abdullah Medical Store,2160.00,375.840,0.000,2535.840,23-Jun-2022 12:38 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310058,Bogura Distribution Center,C2195199,Arthi Medical Store,862.50,150.090,17.250,995.340,23-Jun-2022 12:40 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310059,Bogura Distribution Center,C2204345,Labib Medicin Corner,8100.00,1409.400,0.000,9509.400,23-Jun-2022 12:41 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310060,Bogura Distribution Center,C1433771,Aroggo Medicin Center,900.00,156.600,0.000,1056.600,23-Jun-2022 12:41 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310061,Bogura Distribution Center,C2186062,Jisan Medical Store,3936.30,685.000,196.815,4424.485,23-Jun-2022 12:41 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310062,Bogura Distribution Center,C151347,Al-Sifa Medical Hall,2977.36,518.070,9.148,3486.282,23-Jun-2022 12:41 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310063,Bogura Distribution Center,C155582,Sonjit Medical Store,3039.82,529.070,151.991,3416.899,23-Jun-2022 12:42 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310064,Bogura Distribution Center,C158561,Abdullah Medical Store,2160.00,375.840,0.000,2535.840,23-Jun-2022 12:45 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310065,Bogura Distribution Center,C2195199,Arthi Medical Store,1387.50,241.450,27.750,1601.200,23-Jun-2022 12:46 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310066,Bogura Distribution Center,C2188828,G.M Pharmacy,2925.00,508.950,0.000,3433.950,23-Jun-2022 12:55 PM,51416 : Md. Shahjahan Kabir,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51416 : Md. Shahjahan Kabir,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-114,Gaibandha-1,Sub_TERI-12489,Gaibandha-1,MAR-12488,Gaibandha-1,Gaibandha-1,Approved,
ODR-22062310008,Bogura Distribution Center,C1809,R.S Medical Hall,3022.14,525.920,63.664,3484.396,23-Jun-2022 10:02 AM,51640 : Md. Shariful Islam Mondal ,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51640 : Md. Shariful Islam Mondal ,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-115,Gaibandha-2,Sub_TERI-12490,Gaibandha-2,MAR-12489,Gaibandha-2,Gaibandha-2,Approved,
ODR-22062310009,Bogura Distribution Center,C155576,Masud Medical Store,1260.00,219.240,0.000,1479.240,23-Jun-2022 10:02 AM,51640 : Md. Shariful Islam Mondal ,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51640 : Md. Shariful Islam Mondal ,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-115,Gaibandha-2,Sub_TERI-12490,Gaibandha-2,MAR-12489,Gaibandha-2,Gaibandha-2,Approved,
ODR-22062310010,Bogura Distribution Center,C156401,Rahi Medicine Corner,900.00,156.600,0.000,1056.600,23-Jun-2022 10:03 AM,51640 : Md. Shariful Islam Mondal ,50742 : Md. Habibur Rahman Masud,50755 : Md. Iqbal Hossain,51640 : Md. Shariful Islam Mondal ,NT-100,National,BG-100,Bogura,BG-110,Bogura,BG-115,Gaibandha-2,Sub_TERI-12490,Gaibandha-2,MAR-12489,Gaibandha-2,Gaibandha-2,Approved,
